band_id,rubric_id,ordinal,label,description,score_value,score_range_min,score_range_max,microdescriptor_ref,risk_flag,locked
P0,P,0,Buiten het leerproces,AI voor organisatorische of administratieve taken zonder aanrakingsvlak met leren.,0,0,0,MD_P0,,True
P1,P,1,Voorbereidende context,AI ondersteunt bij het opstellen van leermaterialen voordat die aan de leerling worden voorgelegd.,1,1,1,MD_P1,bias_amplificatie_materiaal,True
P2,P,2,Opstart en activatie,AI in de openingsfase van een les voor het activeren van voorkennis.,2,2,2,MD_P2,voorkennis_vervanging,True
P3,P,3,Instructie en uitleg,"AI neemt deel aan de uitlegfase, modelleert of demonstreert nieuwe leerstof.",3,3,3,MD_P3,schijnduidelijkheid,True
P4,P,4,Oefening en toepassing,"AI begeleidt de oefenfase, geeft feedback op opgaven en stuurt bij.",4,4,4,MD_P4,taakoverdracht,True
P5,P,5,Summatieve toetsing en diplomering,AI speelt een rol in beoordelingen met directe bindende gevolgen.,5,5,5,MD_P5,onherstelbare_besluitvorming_kansenongelijkheid,True
TD0,TD,0,Leerling voert alles uit,Het AI-systeem biedt geen inhoudelijke cognitieve bijdrage.,0,0,0,MD_TD0,cognitieve_overbelasting_bij_hoge_complexiteit,True
TD1,TD,1,"Leerling dominant, ondersteuning perifeer","AI assisteert op randelementen zoals spelling, opmaak of vertaling.",1,1,1,MD_TD1,,True
TD2,TD,2,"Gedeeld, met leerling-kern","Leerling en systeem dragen beide bij aan het denkwerk, leerling blijft eindverantwoordelijk.",2,2,2,MD_TD2,attributie_ambiguiteit,True
TD3,TD,3,"AI dominant, leerling reviseert","Het systeem genereert de primaire inhoud, de leerling selecteert, herschrijft of past aan.",3,3,3,MD_TD3,schijncomplexiteit,True
TD4,TD,4,AI voert kernwerk uit,Het systeem voert de dominante cognitieve arbeid uit.,4,4,4,MD_TD4,leerdoelvervanging_agency_erosie,True
TD5,TD,5,"AI doet alles, leerling observeert",De leerling speelt geen inhoudelijke rol.,5,5,5,MD_TD5,KRITIEK_geen_leren_pseudo_authorship,True
C0,C,0,Afwezige regulatie,Geen van de drie actoren reguleert het proces effectief.,0,0,0,MD_C0,KRITIEK,True
