id,source_id,name,source,role,phase_primary,phase_secondary,gamma_p_band_candidates,goal,duration,grouping,focus,prompt_type,prompt_description,startscript,decision_rules,success_criteria,follow_up_questions,mapped_canonical_commands,selection_hint,direct_band_score_allowed,may_log_as_fix
fw_brain_dump,brain_dump,Brain dump,classroom_taalwerkvormen_v5_from_uploaded_zip_7,formative_workform_fix_candidate,START,"[""INSTRUCTION""]","[""P0"", ""P1""]",Voorkennis activeren,5 min,Individueel,vaktaal,TYPE3_MATERIAAL,"Retrieval-set: focusvraag, retrievalvragen, misconceptiestellingen.","[""Schrijf 2 minuten alles op wat je al weet over [CONCEPT]. Gebruik minimaal 2 vaktermen."", ""Zet bij elk item: Zeker / Twijfel / Fout.""]","[""Als >1/3 twijfel/fout: 60 sec heruitleg met 1 voorbeeld + laat 1 item herschrijven."", ""Als vaktermen ontbreken: geef 3 kernvaktermen op bord, laat 1 zin maken met \""omdat/daardoor/dus\"".""]","[""Minimaal 2 vaktermen correct"", ""Begrippen verbinden met signaalwoord"", ""Elk item eerlijk labelen""]","[""Welke 2 begrippen zijn het meest belangrijk?"", ""Welke relatie kun je uitleggen?"", ""Hoe kom je van twijfel naar zeker?""]","[""/vocab"", ""/schema"", ""/intro"", ""/checkin""]","Gebruik als formatieve werkvorm wanneer signalen, fase en focus beter vragen om klasactiviteit dan om één directe prompt.",False,True
fw_woord_web,woord_web,Woordweb,classroom_taalwerkvormen_v5_from_uploaded_zip_7,formative_workform_fix_candidate,START,"[""INSTRUCTION""]","[""P0"", ""P1""]",Associaties en vaktaal activeren,4 min,Individueel,vaktaal,TYPE3_MATERIAAL,Woordweb rond kernbegrip met verplichte vaktermen.,"[""Zet [KERNBEGRIP] in het midden. Schrijf minimaal 6 woorden eromheen die ermee te maken hebben."", ""Onderstreep welke woorden vaktermen zijn.""]","[""Als <3 vaktermen: geef 4 vaktermen, laat inpassen in het web."", ""Als associaties oppervlakkig: verplicht 2 verbindingen uitleggen met \""want\"" of \""doordat\"".""]","[""Minimaal 6 associaties"", ""Minstens 3 vaktermen herkennen"", ""Eén verbinding verklaren""]","[""Welke 2 woorden horen het sterkst bij elkaar?"", ""Welk woord past eigenlijk niet?"", ""Kun je een groepje maken?""]","[""/vocab"", ""/schema"", ""/intro"", ""/checkin""]","Gebruik als formatieve werkvorm wanneer signalen, fase en focus beter vragen om klasactiviteit dan om één directe prompt.",False,True
fw_lesdoel_vertalen,lesdoel_vertalen,Lesdoel vertalen,classroom_taalwerkvormen_v5_from_uploaded_zip_7,formative_workform_fix_candidate,START,[],"[""P0"", ""P1""]",Lesdoel in eigen woorden formuleren,3 min,Individueel,verwoorden,TYPE2_ONTWERP,Leerling herformuleert het lesdoel in eigen woorden.,"[""Lees het lesdoel op het bord. Schrijf in eigen woorden op: wat ga je leren en hoe weet je dat je het snapt?""]","[""Als leerlingen het doel kopiëren: verplicht minimaal 1 eigen voorbeeld toevoegen."", ""Als formulering vaag: geef zinsframe \""Aan het einde van de les kan ik… doordat…\"".""]","[""Doel in eigen woorden"", ""Concreet voorbeeld of bewijs genoemd"", ""Zinsframe correct gebruikt""]","[""Hoe zou je checken of je het doel gehaald hebt?"", ""Wat weet je hier al van?""]","[""/beurtvraag"", ""/teach"", ""/intro"", ""/schema"", ""/checkin""]","Gebruik als formatieve werkvorm wanneer signalen, fase en focus beter vragen om klasactiviteit dan om één directe prompt.",False,True
fw_twee_waarheden,twee_waarheden,"Twee waarheden, één leugen",classroom_taalwerkvormen_v5_from_uploaded_zip_7,formative_workform_fix_candidate,START,"[""INSTRUCTION""]","[""P0"", ""P1""]",Misconcepties opsporen via spel,5 min,Duo,redeneren,TYPE2_ONTWERP,"Leerlingen schrijven 3 beweringen, 1 is fout. Duo raadt welke.","[""Schrijf 3 beweringen over [ONDERWERP]. Twee zijn waar, één is fout maar klinkt logisch."", ""Wissel met je buur. Welke is de leugen? Leg uit waarom met \""omdat…\"".""]","[""Als leugens te makkelijk: verplicht dat de fout een veelgemaakte denkfout is."", ""Als uitleg ontbreekt: geef bewijsframe \""Dit is fout, want…\"".""]","[""Drie beweringen geformuleerd"", ""Fout bevat een realistische misconceptie"", ""Uitleg met signaalwoord""]","[""Waarom klinkt de leugen zo geloofwaardig?"", ""Welke denkfout zit erachter?"", ""Hoe zou je het bewijzen?""]","[""/ref"", ""/devil"", ""/intro"", ""/schema"", ""/checkin""]","Gebruik als formatieve werkvorm wanneer signalen, fase en focus beter vragen om klasactiviteit dan om één directe prompt.",False,True
fw_voorspelling,voorspelling,Voorspelling doen,classroom_taalwerkvormen_v5_from_uploaded_zip_7,formative_workform_fix_candidate,START,"[""INSTRUCTION""]","[""P0"", ""P1""]",Hypothesevorming activeren,3 min,Individueel,redeneren,TYPE2_ONTWERP,Leerling doet voorspelling over lesinhoud.,"[""Wat denk je dat het antwoord/resultaat/uitkomst is van [VRAAG]? Schrijf je voorspelling op met \""Ik denk… omdat…\"".""]","[""Als voorspellingen zonder onderbouwing: verplicht \""omdat\"" + 1 reden."", ""Na de les: laat voorspelling vergelijken met werkelijk antwoord.""]","[""Concrete voorspelling gedaan"", ""Onderbouwd met reden"", ""Na les: vergelijking gemaakt""]","[""Waar baseer je je voorspelling op?"", ""Wat zou je laten twijfelen?"", ""Hoe kun je het testen?""]","[""/ref"", ""/devil"", ""/intro"", ""/schema"", ""/checkin""]","Gebruik als formatieve werkvorm wanneer signalen, fase en focus beter vragen om klasactiviteit dan om één directe prompt.",False,True
fw_kernvraag_start,kernvraag_start,Kernvraag formuleren,classroom_taalwerkvormen_v5_from_uploaded_zip_7,formative_workform_fix_candidate,START,[],"[""P0"", ""P1""]",Nieuwsgierigheid en focus activeren,3 min,Individueel,structureren,TYPE2_ONTWERP,Leerling formuleert één kernvraag die de les moet beantwoorden.,"[""Schrijf 1 vraag op die je beantwoord wilt hebben aan het einde van de les. Begin met \""Waarom…\"", \""Hoe…\"" of \""Wat als…\"".""]","[""Als vragen te breed: beperk tot het lesonderwerp, verplicht vakterm in de vraag."", ""Als ja/nee-vragen: verplicht open vraagwoord.""]","[""Open vraag geformuleerd"", ""Gerelateerd aan lesonderwerp"", ""Bevat vakterm of specifiek begrip""]","[""Hoe zou je dit onderzoeken?"", ""Welke deelvragen heb je nodig?""]","[""/schema"", ""/stappenplan"", ""/intro"", ""/checkin""]","Gebruik als formatieve werkvorm wanneer signalen, fase en focus beter vragen om klasactiviteit dan om één directe prompt.",False,True
fw_vorige_les_quiz,vorige_les_quiz,Vorige-les-quiz,classroom_taalwerkvormen_v5_from_uploaded_zip_7,formative_workform_fix_candidate,START,[],"[""P0"", ""P1""]",Retrieval practice van vorige les,3 min,Individueel,diagnostiek,TYPE2_ONTWERP,Drie snelle herinneringsvragen over vorige les.,"[""Beantwoord zonder je schrift: (1) Wat was het belangrijkste begrip vorige les? (2) Noem 1 voorbeeld. (3) Welke stap vond je lastig?""]","[""Als >50% blanco bij vraag 1: korte herhaling (2 min) voor nieuwe stof."", ""Als voorbeelden ontbreken: bied 3 opties, laat kiezen + uitleggen.""]","[""Alle 3 beantwoord"", ""Vakterm gebruikt"", ""Eerlijke zelfinschatting""]","[""Welk begrip is het belangrijkst voor vandaag?"", ""Wat wil je beter snappen?""]","[""/quizgen"", ""/beurtvraag"", ""/intro"", ""/schema"", ""/checkin""]","Gebruik als formatieve werkvorm wanneer signalen, fase en focus beter vragen om klasactiviteit dan om één directe prompt.",False,True
fw_foto_analyse,foto_analyse,Beeld analyseren,classroom_taalwerkvormen_v5_from_uploaded_zip_7,formative_workform_fix_candidate,START,"[""INSTRUCTION""]","[""P0"", ""P1""]",Observeren en beschrijven met vaktaal,4 min,Individueel,precisie,TYPE3_MATERIAAL,Afbeelding/grafiek/bron beschrijven met vaktermen.,"[""Bekijk de afbeelding/grafiek. Schrijf 3 waarnemingen op. Gebruik bij elke waarneming minimaal 1 vakterm.""]","[""Als beschrijvingen te algemeen: verplicht \""Ik zie… dit betekent dat…\""."", ""Als vaktermen ontbreken: geef 3 termen, laat opnieuw beschrijven.""]","[""3 waarnemingen"", ""Elke met vakterm"", ""Eén conclusie geformuleerd""]","[""Wat valt het meest op?"", ""Welke conclusie kun je trekken?"", ""Wat ontbreekt in de bron?""]","[""/verify"", ""/feit_mening"", ""/intro"", ""/schema"", ""/checkin""]","Gebruik als formatieve werkvorm wanneer signalen, fase en focus beter vragen om klasactiviteit dan om één directe prompt.",False,True
fw_kop_schrijven,kop_schrijven,Krantenkop schrijven,classroom_taalwerkvormen_v5_from_uploaded_zip_7,formative_workform_fix_candidate,START,"[""CLOSING""]","[""P0"", ""P1""]",Kern samenvatten in één zin,2 min,Individueel,structureren,TYPE2_ONTWERP,Schrijf een krantenkop die de kern van vorige les/het onderwerp samenvat.,"[""Schrijf een krantenkop (max 10 woorden) over [ONDERWERP]. De kop moet de kern raken.""]","[""Als te vaag: verplicht vakterm in de kop."", ""Als te lang: laat inkorten tot precies 8 woorden.""]","[""Max 10 woorden"", ""Kern geraakt"", ""Bevat vakterm""]","[""Wat maakt jouw kop beter dan die van je buur?"", ""Welk woord is onmisbaar?""]","[""/schema"", ""/stappenplan"", ""/intro"", ""/checkin""]","Gebruik als formatieve werkvorm wanneer signalen, fase en focus beter vragen om klasactiviteit dan om één directe prompt.",False,True
fw_begrip_sorteren,begrip_sorteren,Begrippen sorteren,classroom_taalwerkvormen_v5_from_uploaded_zip_7,formative_workform_fix_candidate,START,"[""INSTRUCTION""]","[""P0"", ""P1""]",Categoriseren en ordenen,4 min,Duo,relaties,TYPE3_MATERIAAL,Sorteer begrippen in categorieën en verklaar de indeling.,"[""Sorteer deze begrippen in 2 of 3 groepen. Geef elke groep een naam. Leg uit waarom met \""hoort bij… omdat…\"".""]","[""Als groepen niet logisch: laat hersorteren met verplichte groepsnaam als vakterm."", ""Als uitleg ontbreekt: verplicht 1 zin per groep met \""omdat\"".""]","[""Begrippen in logische groepen"", ""Groepsnaam is inhoudelijk"", ""Uitleg met signaalwoord""]","[""Welk begrip past in meerdere groepen?"", ""Welke groep is het belangrijkst?""]","[""/schema"", ""/vergelijk"", ""/intro"", ""/checkin""]","Gebruik als formatieve werkvorm wanneer signalen, fase en focus beter vragen om klasactiviteit dan om één directe prompt.",False,True
