rubric_id,name,perspective,description,empirical_basis_count,empirical_basis,declared_coupling_refs_count,declared_coupling_refs,locked,source
P,Procesfase,onderwijs,In welke fase van het leerproces wordt het AI-systeem ingezet.,4,"[""Surma2019"", ""Rosenshine2012"", ""HattieTimperley2007"", ""EUAIAct2024""]",4,"[""P_DBc_required"", ""P_X_required"", ""P_A_warning"", ""P_B_blocking""]",True,gamma_model
TD,Taakdichtheid,onderwijs,"In welke mate neemt het AI-systeem de cognitieve kerntaken van de leerling over, specifiek gekoppeld aan de vaardigheid die in de leertaak centraal staat.",5,"[""Gerlich2025"", ""LeeEtAl2025"", ""HongEtAl2025"", ""Sweller1988"", ""BjorkSoderstrom""]",3,"[""TD_V_inverse"", ""TD_L_schijnleren"", ""TD_P_contextual_correction""]",True,gamma_model
C,Co-regulatie,onderwijs,"De verdeling van regulatieve arbeid over drie actoren: leerling, AI-systeem en docent.",5,"[""Zimmerman2002"", ""LobczowskiEtAl2021"", ""XuEtAl2025"", ""EediDeepMind2025"", ""STEMBibliometricReview2025""]",3,"[""C_S_dependency"", ""C_VM_bidirectional"", ""C_A_AI_dominance""]",True,gamma_model
E,Epistemische betrouwbaarheid,onderwijs,"In welke mate is wat in de interactie wordt geproduceerd epistemisch verankerd: traceerbaar, reconstrueerbaar en brongebonden.",4,"[""ClarkDMelloBobrowicz2024"", ""LewisEtAl2020"", ""MetaR12025"", ""MetaRAG2024""]",2,"[""E_DA_minimum"", ""E_X_required""]",True,gamma_model
L,Leercontinuïteit,onderwijs,In welke mate is de huidige leerinteractie verbonden met eerdere en toekomstige leermomenten en in welke mate blijft het geleerde buiten de interactie bruikbaar.,3,"[""BjorkSoderstrom"", ""EediDeepMind2025"", ""LongContextWindows2025""]",2,"[""L_TD_schijnleren"", ""L_VM_required""]",True,gamma_model
S,Sociale dimensie,onderwijs,"In welke mate spelen peer-interactie, groepsdynamiek en docentbetrokkenheid een rol in het leerproces.",3,"[""Vygotsky1978"", ""LobczowskiEtAl2021"", ""STEMBibliometricReview2025""]",2,"[""S_C5_dependency"", ""S_VS_bidirectional""]",True,gamma_model
B,Bias en inclusiviteit,onderwijs,"In welke mate draagt de AI-interactie bias uit trainingsdata, systeemontwerp of pedagogische context uit of verergert die.",2,"[""AIFairnessLiterature"", ""EUAIAct2024""]",2,"[""B_P_blocking"", ""B_K_type_dependency""]",True,gamma_model
A,Autonomie,techniek,In welke mate neemt het AI-systeem zelfstandig beslissingen zonder menselijke tussenkomst. Onderscheid reactieve versus proactieve autonomie.,2,"[""AcharyaEtAl2025"", ""DeciRyan2000""]",3,"[""A_DBc_required"", ""A_C_AI_dominance"", ""A_P_blocking_high""]",True,gamma_model
DA,Verwerkingsdiepte,techniek,"De cognitieve complexiteit van wat het systeem doet met de input, onderscheiden naar interne en zichtbare deliberatie.",5,"[""WeiEtAl2022"", ""GPT5_Claude4_Gemini3_DeepSeekR2"", ""MetaR12025"", ""MetaRAG2024"", ""NgEtAl2024""]",3,"[""DA_X_required"", ""DA_E_minimum"", ""DA_VM_interaction""]",True,gamma_model
DBc,Correctietoezicht,techniek,Hoe zijn menselijk toezicht en correctiemogelijkheden rondom het systeem ingericht.,2,"[""EUAIAct2024"", ""EediDeepMind2025""]",3,"[""DBc_P_required"", ""DBc_A_required"", ""DBc_X_consistency""]",True,gamma_model
T,Technologische integratie,techniek,In welke mate is het systeem ingebed in een breder technologisch en didactisch ecosysteem.,2,"[""MishraKoehler2006"", ""AcharyaEtAl2025""]",2,"[""T_X_required"", ""T_A_governance""]",True,gamma_model
VC,Cognitieve vaardigheidsondersteuning,techniek,In welke mate ondersteunt het systeem de cognitieve kernleerhandelingen van de leerling.,2,"[""AndersonKrathwohl2001"", ""Vygotsky1978""]",2,"[""VC_TD_inverse"", ""VC_K_effectiveness""]",True,gamma_model
VM,Metacognitieve vaardigheidsondersteuning,techniek,"In welke mate ondersteunt het systeem de metacognitie van de leerling: planning, monitoring, reflectie.",3,"[""Zimmerman2002"", ""XuEtAl2025"", ""LobczowskiEtAl2021""]",3,"[""VM_C_bidirectional"", ""VM_L_required"", ""VM_Ad_interaction""]",True,gamma_model
VS,Sociale vaardigheidsondersteuning,techniek,In welke mate ondersteunt het systeem sociale leervaardigheden.,2,"[""Vygotsky1978"", ""LobczowskiEtAl2021""]",1,"[""VS_S_bidirectional""]",True,gamma_model
VA,Affectieve vaardigheidsondersteuning,techniek,"In welke mate ondersteunt het systeem motivatie, doorzettingsvermogen en emotionele regulatie.",2,"[""DeciRyan2000"", ""EediDeepMind2025""]",1,"[""VA_C_interaction""]",True,gamma_model
K,Kennistypering,techniek,De kennisoriëntatie van het systeem: welk type kennis staat centraal in de output.,1,"[""AndersonKrathwohl2001""]",3,"[""K_V_effectiveness"", ""K_E_type_dependency"", ""K_P_fit""]",True,gamma_model
X,Transparantie,techniek,"In welke mate is systeemgedrag traceerbaar, inspecteerbaar en corrigeerbaar. Operationeel anker voor didactische controleerbaarheid.",2,"[""DidacticControllabilityEAI"", ""EUAIAct2024""]",3,"[""X_DA_required"", ""X_P_required"", ""X_T_required""]",True,gamma_model
Ad,Adaptieve verwerking,techniek,"In welke mate past het systeem zijn verwerkingsdiepte aan aan de complexiteit van de vraag en de capaciteit van de leerling. Pedagogische adaptiviteit optimaliseert op het leerdoel, niet op het correcte antwoord.",3,"[""AdaptiveThinkingClaude2025"", ""GPT54Thinking2025"", ""Vygotsky1978""]",2,"[""Ad_VM_interaction"", ""Ad_C5_support""]",True,gamma_model
