legacy_rubric_id,legacy_band_id,command,fix_text,didactic_principle,fix_type,status
K_KennisType,K0,/leervraag,"Maak het type expliciet: gaat het om (1) een feit/definitie, (2) een procedure/stappen, of (3) een keuze/aanpak?",Afbakening,,legacy_default_not_exclusive
K_KennisType,K1,/flits,"Drill: stel korte recall-vragen, corrigeer bondig en laat direct herhalen.",Automatisering,,legacy_default_not_exclusive
K_KennisType,K2,/modelen,Modeling: voordoen → samen doen → leerling doet zelfstandig; expliciteer stappen en checks.,Modeling,,legacy_default_not_exclusive
K_KennisType,K3,/meta,Laat de leerling strategie en criteria benoemen; reflecteer op wat werkt en wat aangepast moet worden.,Zelfregulatie,,legacy_default_not_exclusive
C_CoRegulatie,C0,/checkin,"Reset: bepaal doel, rol en gewenste werkvorm.",Afstemming,didactic,legacy_default_not_exclusive
C_CoRegulatie,C1,/beurtvraag,Stel één dwingende beurtvraag en wacht op eigen formulering van de leerling.,Activering,didactic,legacy_default_not_exclusive
C_CoRegulatie,C2,/keuze,Bied keuze-architectuur (route A/B) en laat leerling de koers kiezen.,Keuze-architectuur,didactic,legacy_default_not_exclusive
C_CoRegulatie,C3,/ssrl_check,"Maak gedeeld doel, rolverdeling en eerste monitoringsafspraak expliciet.",Monitoring,didactic,legacy_default_not_exclusive
C_CoRegulatie,C4,/ref,"Laat rationale, monitoringskeuzes en feedbackbesluiten expliciet maken.",Zelfregulatie,didactic,legacy_default_not_exclusive
C_CoRegulatie,C5,/devil,Beproef de stevigheid van de regie met een tegenwerping of alternatieve route.,Socratisch,didactic,legacy_default_not_exclusive
P_Procesfase,P0,/fase_check,Check in welke fase de leerling zit voordat je inhoudelijk verder gaat.,Diagnose,didactic,legacy_default_not_exclusive
P_Procesfase,P1,/intro,Maak doel/scope expliciet en activeer minimale voorkennis om te kunnen starten.,Oriëntatie,didactic,legacy_default_not_exclusive
P_Procesfase,P2,/schema,Laat voorkennis structureren (lijst/conceptmap) en verbind aan de opdracht.,Organisatie,didactic,legacy_default_not_exclusive
P_Procesfase,P3,/beeld,Geef compacte uitleg met metafoor/voorbeeld en controleer begrip met een vraag.,Uitleg,didactic,legacy_default_not_exclusive
