id,description,intent,summary,use_when,avoid_when,ai_constraint,learner_evidence,trace_events,semantic_role,literal_prompt_binding_allowed
/checkin,Vraag expliciet: 'Wat is je concrete doel en welke rol wil je dat ik neem?',,,[],[],,,[],canonical_command_intent,False
/beurtvraag,Stop met zenden. Vraag: 'Vat de kern in één zin samen.',,,[],[],,,[],canonical_command_intent,False
/keuze,Bied twee routes (A/B) en laat de leerling kiezen.,,,[],[],,,[],canonical_command_intent,False
/meta,Proces-check: 'Hoe werkt onze aanpak tot nu toe?',,,[],[],,,[],canonical_command_intent,False
/ref,Expliciteren: 'Waarom kies je deze aanpak/aanname?',rationale_explication,"Laat de leerling expliciteren waarom een keuze, aanname of route passend is.","[""een keuze snel gemaakt wordt"", ""feedbackbesluiten verantwoord moeten worden"", ""co-regulatie expliciete rationale vraagt""]","[""de kennissoort nog onduidelijk is en eerst diagnose nodig is""]",AI neemt rationale niet over maar vraagt ernaar en spiegelt die terug.,expliciete keuze- of feedbackrationale,"[""TURN""]",canonical_command_intent,False
/devil,Tegenwerping: 'Welke zwakke plek zit er in je plan?',stress_test,"Beproef de stevigheid van regie, plan of conclusie met een tegenwerping of alternatief.","[""eigenaarschap of redenering te snel vastklikt"", ""een route te fragiel lijkt"", ""overname van feedback te makkelijk gaat""]","[""basisbegrip of veiligheid nog te laag is voor productieve challenge""]",AI daagt uit zonder de uiteindelijke keuze over te nemen.,"weerwoord, aangescherpte keuze of grensstelling","[""TURN""]",canonical_command_intent,False
/fase_check,"Fase-check: 'Oriëntatie, uitvoering of evaluatie?'",,,[],[],,,[],canonical_command_intent,False
/intro,Voorkennis: 'Noem 3 begrippen die je met dit onderwerp associeert.',,,[],[],,,[],canonical_command_intent,False
/schema,Ordenen: 'Maak een korte lijst of conceptmap van wat je al weet.',,,[],[],,,[],canonical_command_intent,False
/beeld,Uitleg: 'Gebruik een metafoor/visualisatie om dit helder te maken.',,,[],[],,,[],canonical_command_intent,False
/quizgen,Toets: 'Maak 3 formatieve vragen (MC/open/stelling).',,,[],[],,,[],canonical_command_intent,False
/rubric,Zelfbeoordeling: 'Scoor jezelf per criterium en licht toe.',,,[],[],,,[],canonical_command_intent,False
/leervraag,Doel: 'Wat wil je bereiken en wat is het eindproduct?',,,[],[],,,[],canonical_command_intent,False
