id,source,targets,relation_type,enforcement,action,trigger,expectation,on_violation,rationale,source_rubrics,related_rubrics,status,review_required,source_basis,confidence,maps_to,requirement,effect
A_C_AI_dominance,A,"[""C""]",moderates,soft_constraint,warn_if_unbalanced,A >= A4 AND C <= C2,High autonomy should not result in AI-dominated or weak regulation.,raise agency_erosion_risk; inspect co-regulation distribution,High system autonomy increases the chance that regulation shifts away from learner and teacher.,"[""A""]","[""A"", ""C""]",resolved,False,"[""gamma_coupling_ref"", ""gamma_constraints"", ""gamma_band_descriptions"", ""v16_relation_model""]",medium,,,
A_DBc_required,A,"[""DBc""]",depends_on,hard_constraint,block_if_violated,A >= A4 AND P >= P3,,configuration_invalid,Proactive autonomy in instruction or later phases requires human-in-the-loop supervision.,"[""A""]","[""A"", ""DBc""]",resolved,False,"[""gamma_coupling_ref"", ""gamma_constraints"", ""gamma_band_descriptions"", ""v16_relation_model""]",high,"[""HC3""]",DBc = DBc5,
A_P_blocking_high,A,"[""P"", ""DBc""]",constrains,hard_constraint,block_if_violated,A >= A4 AND P >= P3,,configuration_invalid,High autonomy becomes blocking only when it enters learning-facing phases without the required supervision.,"[""A""]","[""A"", ""DBc"", ""P""]",resolved,False,"[""gamma_coupling_ref"", ""gamma_constraints"", ""gamma_band_descriptions"", ""v16_relation_model""]",high,"[""HC3""]",DBc = DBc5,
Ad_C5_support,Ad,"[""C""]",supports,synergy,apply_positive_synergy,Ad >= Ad4 AND C = C5,,no_violation; absence of synergy only,"Adaptive processing is didactically safer when learner, teacher and system all keep a regulative role.","[""Ad""]","[""Ad"", ""C""]",resolved,False,"[""gamma_coupling_ref"", ""gamma_constraints"", ""gamma_band_descriptions"", ""v16_relation_model""]",high,,,Pedagogical adaptivity is strongest when triadic co-regulation remains intact.
Ad_VM_interaction,Ad,"[""VM""]",moderates,soft_constraint_and_synergy,warn_or_boost,Ad >= Ad3,VM >= VM3; Ad5 + VM4 produces synergy,warn: technical adaptivity may displace metacognition,"Adaptivity without metacognitive support optimizes output, not learning.","[""Ad""]","[""Ad"", ""VM""]",resolved,False,"[""gamma_coupling_ref"", ""gamma_constraints"", ""gamma_band_descriptions"", ""v16_relation_model""]",high,"[""SC3"", ""SY3""]",,
B_K_type_dependency,B,"[""K""]",moderates,soft_constraint,warn_if_unbalanced,K >= K3 AND B <= B2,Conceptual and metacognitive knowledge work should use at least monitored and preferably corrected bias handling.,raise knowledge_bias_distortion_risk,"Bias is more harmful when the system shapes concepts, interpretations or metacognitive beliefs.","[""B""]","[""B"", ""K""]",resolved,False,"[""gamma_coupling_ref"", ""gamma_constraints"", ""gamma_band_descriptions"", ""v16_relation_model""]",medium,,,
B_P_blocking,B,"[""P""]",constrains,hard_constraint,block_if_violated,B <= B1 AND P >= P4,,configuration_invalid,"Manifest or subtle bias is unacceptable in practice, assessment or other consequential learning phases.","[""B""]","[""B"", ""P""]",resolved,False,"[""gamma_coupling_ref"", ""gamma_constraints"", ""gamma_band_descriptions"", ""v16_relation_model""]",high,"[""HC6""]",configuration_valid = false,
C_A_AI_dominance,C,"[""A""]",moderates,soft_constraint,warn_if_unbalanced,C = C1 OR (A >= A4 AND C <= C2),Regulation should remain distributed when autonomy is high.,raise AI_dominance_risk,AI-dominated regulation becomes more risky as system autonomy rises.,"[""C""]","[""A"", ""C""]",resolved,False,"[""gamma_coupling_ref"", ""gamma_constraints"", ""gamma_band_descriptions"", ""v16_relation_model""]",medium,,,
C_S_dependency,C,"[""S""]",depends_on,score_consistency,reject_or_downgrade_band_assignment,C = C5 AND S <= S1,,do_not_assign_C5_without_social_evidence,Triadic co-regulation cannot be claimed when the interaction is fully or almost fully individual.,"[""C""]","[""C"", ""S""]",resolved,False,"[""gamma_coupling_ref"", ""gamma_constraints"", ""gamma_band_descriptions"", ""v16_relation_model""]",medium,,"C5 requires a social or teacher-involved setting; normally S >= S3, preferably S4",
C_VM_bidirectional,C,"[""VM""]",supports,soft_constraint_and_synergy,warn_or_boost,C >= C3,VM >= VM2; C5 + VM4 + X4 produces high-level SRL synergy,warn: regulation lacks metacognitive support,Shared regulation and metacognitive support reinforce each other.,"[""C""]","[""C"", ""VM""]",resolved,False,"[""gamma_coupling_ref"", ""gamma_constraints"", ""gamma_band_descriptions"", ""v16_relation_model""]",high,"[""SY1""]",,
DA_E_minimum,DA,"[""E""]",depends_on,soft_constraint,warn_if_unbalanced,DA >= DA2 AND E <= E1,Visible or deep reasoning should have at least partial epistemic anchoring.,raise schijnredenering_risk,Reasoning depth without epistemic anchoring can create convincing but unreliable output.,"[""DA""]","[""DA"", ""E""]",resolved,False,"[""gamma_coupling_ref"", ""gamma_constraints"", ""gamma_band_descriptions"", ""v16_relation_model""]",medium,,,
