id,rubric_id,band_id,learner_obs,ai_obs,didactic_principle,intervention,risk_flag,source,role,may_directly_set_band
MD_P0,P,P0,De leerling heeft geen interactie met het systeem in een leercontext.,Het systeem opereert op niveau van roosterbeheer of logistiek.,Niet van toepassing.,Geen vanuit didactisch oogpunt.,,gamma_model,band_evidence_descriptor,False
MD_P1,P,P1,De leerling krijgt materiaal dat deels door het systeem is opgesteld maar interageert er niet rechtstreeks mee.,"Het systeem genereert lesmateriaal, toetsitems of opdrachtbeschrijvingen ter voorbereiding.",De kwaliteit van aangeboden materiaal bepaalt mede de leerkansen.,Controleer materiaal op correctheid en didactische passendheid voor gebruik.,bias_amplificatie_materiaal,gamma_model,band_evidence_descriptor,False
MD_P2,P,P2,De leerling verkent het onderwerp met systeemondersteuning en wordt uitgenodigd eigen vragen te formuleren.,"Het systeem genereert een casus, hook of lokt voorkennis uit zonder direct tot oplossing te komen.",Activatie van voorkennis faciliteert encoding van nieuwe leerstof.,"Borg leerlinggestuurde activatie, systeem uitnodigen niet beantwoorden.",voorkennis_vervanging,gamma_model,band_evidence_descriptor,False
MD_P3,P,P3,"De leerling ontvangt uitleg mede van het systeem, stelt vervolgvragen, vraagt om verheldering.","Het systeem legt concepten uit, geeft voorbeelden, gebruikt analogieën en demonstreert werkwijze.",Heldere gestructureerde uitleg met modelleringsvoorbeelden ondersteunt begrip.,"Voorkom passief vastleer-patroon, actieve verwerking verplicht.",schijnduidelijkheid,gamma_model,band_evidence_descriptor,False
MD_P4,P,P4,"De leerling werkt aan opdrachten met systeemondersteuning, vraagt hulp en ontvangt feedback.","Het systeem biedt hints, corrigeert fouten, past moeilijkheid aan en geeft procesgerichte feedback.",Begeleide oefening met directe feedback consolideert leren.,Borg dat het systeem denken scaffoldt en geen oplossingen aanreikt.,taakoverdracht,gamma_model,band_evidence_descriptor,False
MD_P5,P,P5,"De leerling wordt beoordeeld met AI-betrokkenheid, prestatie heeft bindende consequentie.","Het systeem beoordeelt, kent een score toe, vergelijkt met norm of genereert eindoordeel.",Summatieve beoordelingen vereisen hoge betrouwbaarheid en uitlegbaarheid. EU AI Act hoog-risico.,"Maximaliseer menselijk toezicht, borg volledige corrigeerbaarheid en maximale transparantie.",onherstelbare_besluitvorming_kansenongelijkheid,gamma_model,band_evidence_descriptor,False
MD_TD0,TD,TD0,"De leerling analyseert, beslist, formuleert en evalueert zelfstandig.","Het systeem biedt alleen infrastructuur, geen denkwerk.",Volledige cognitieve engagement heeft betekenis voor consolidatie en transfer.,Overweeg lichte ondersteuning wanneer de leerling vastloopt.,cognitieve_overbelasting_bij_hoge_complexiteit,gamma_model,band_evidence_descriptor,False
MD_TD1,TD,TD1,De leerling denkt zelf en gebruikt het systeem voor niet-kerncognitieve aspecten.,"Het systeem corrigeert spelling, suggereert opmaak, vertaalt termen, geen inhoudelijke herstructurering.",Perifere ondersteuning maakt werkgeheugen vrij voor kerncognitie.,Bewaak dat de periferie niet geleidelijk de kern wordt.,,gamma_model,band_evidence_descriptor,False
MD_TD2,TD,TD2,De leerling verwerkt systeeminput kritisch en accepteert of verwerpt suggesties met motivatie.,Het systeem geeft inhoudelijke suggesties en stelt alternatieven voor maar wacht op de beslissing.,Dialogisch leren met gedeeld denkwerk kan diepte verhogen mits leerling geen passieve ontvanger wordt.,"Borg dat de leerling redeneringen verantwoordt, niet alleen selecteert.",attributie_ambiguiteit,gamma_model,band_evidence_descriptor,False
MD_TD3,TD,TD3,De leerling bewerkt output zonder conceptuele herstructurering.,"Het systeem levert primaire tekst, structuur en argumentatie.",Revisie zonder initiële generatie onderbouwt leren niet volledig.,Vraag de leerling om eerst zelf een versie te produceren of conceptueel te herstructureren.,schijncomplexiteit,gamma_model,band_evidence_descriptor,False
