command_id,description,has_profile,intent,summary,ai_constraint,learner_evidence,trace_events,use_when,avoid_when
/afsluiter,Afronding: 'Noem één ding dat je nu beter begrijpt.',False,,,,,[],[],[]
/algo_kritiek,Modelkritiek: 'Waardoor kan hier bias ontstaan in AI-uitvoer?',False,,,,,[],[],[]
/auteurschap,"Auteurschap: 'Markeer wat van jou is, wat van AI komt en waarom je dat hebt gebruikt.'",True,authorship_marking,"Markeer wat van de leerling is, wat van AI komt en waarom die AI-inzet gekozen is.",AI vervaagt de herkomst van ideeën of tekst niet.,heldere scheiding tussen eigen bijdrage en AI-bijdrage,"[""AUTHORSHIP_MARKING""]","[""AI zichtbaar heeft meegeschreven of meegedacht"", ""eigendoms- of integriteitsvraag speelt"", ""transfer of beoordeling zelfstandigheid relevant is""]","[""AI geen betekenisvolle inhoudelijke bijdrage heeft geleverd""]"
/beeld,Uitleg: 'Gebruik een metafoor/visualisatie om dit helder te maken.',False,,,,,[],[],[]
/beurtvraag,Stop met zenden. Vraag: 'Vat de kern in één zin samen.',False,,,,,[],[],[]
/bias_check,Bias-check: 'Welke aannames of databeperkingen kunnen dit kleuren?',False,,,,,[],[],[]
/bron_vraag,Bron: 'Welke specifieke bron/theorie gebruik je hiervoor?',False,,,,,[],[],[]
/bronweging,"Bronweging: 'Welke bron of feedbackgever verdient hier het meeste vertrouwen, en op basis waarvan?'",True,source_weighing,"Weeg bronnen of feedbackgevers op geloofwaardigheid, relevantie, datum, expertise en context.",AI behandelt bronnen niet als gelijkwaardig zonder expliciete weging.,verantwoording waarom een bron/feedbackgever sterker of zwakker is,"[""VERIFICATION_ACTION"", ""SOURCE_CREDIBILITY_JUDGMENT""]","[""meerdere bronnen of feedbackgevers concurreren"", ""een bron niet automatisch betrouwbaar is"", ""de bronkeuze verantwoord moet worden""]","[""er slechts één ongecontroleerde claim is en verificatie nog eerst nodig is""]"
/chain,Transparantie: 'Welke stappen volg ik (in gewone taal)? Klopt dat voor jou?',True,process_transparency,Maak de gevolgde stappen in gewone taal expliciet en toets of die navolgbaar zijn.,AI beschrijft stappen zonder verborgen beslissprongen en laat correctie toe.,bevestiging of correctie van stappenplan,"[""TURN""]","[""werkwijze bespreekbaar en controleerbaar moet worden"", ""glass-box gedrag gewenst is""]","[""het risico primair ligt bij epistemische onbetrouwbaarheid in plaats van transparantie""]"
/checkin,Vraag expliciet: 'Wat is je concrete doel en welke rol wil je dat ik neem?',False,,,,,[],[],[]
